Two-Digit Districts,Standard Districts,At Large as District 1,Full District Name,state,name,shape
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-141.119233,69.673527 -143.753065,70.137242 -146.335147,70.176235 -148.858069,70.422917 -151.297598,70.400748 -152.735892,70.884545 -155.150524,71.11205 -155.513987,71.096794 -158.976615,70.796377 -161.859745,70.308048 -163.535314,69.141656 -166.368546,68.28177 -162.661661,67.01889 -161.599293,66.59327 -162.544381,66.804872 -161.623983,66.162082 -163.955901,66.21717 -165.607237,66.119397 -168.099046,65.592239 -166.911922,65.125965 -163.875774,64.572935 -161.902429,64.703851 -161.373572,64.535028 -162.064799,63.507363 -163.73265,63.213257 -165.294962,62.403353 -166.165232,61.550618 -165.307976,61.181823 -164.939496,60.924774 -165.124792,60.449191 -162.748554,59.962664 -161.790375,59.468197 -159.753754,58.855724 -158.559499,58.841819 -157.003401,58.836822 -157.583089,57.494744 -159.369434,56.657073 -160.532582,55.869891 -161.972624,55.800526 -163.338395,54.956191 -164.576896,54.824564 -163.280633,54.695367 -162.707203,54.972023 -162.292511,55.033429 -161.35767,55.612603 -160.615305,55.575516 -159.639619,55.617915 -158.737009,55.953313 -158.264792,56.209597 -157.715998,56.648492 -156.986171,56.911131 -156.481632,57.338705 -155.291651,57.735809 -154.539367,58.055887 -153.96037,58.487831 -153.547283,58.983716 -154.044563,59.388295 -153.392022,59.638856 -152.793584,59.89672 -152.312226,60.420397 -151.573698,60.975876 -150.286978,61.257443 -150.515058,60.999443 -151.381959,60.296951 -151.11649,59.696132 -151.96313,59.344958 -151.190948,59.206632 -150.584636,59.49451 -149.798304,59.677545 -148.957554,59.998371 -148.305725,60.054468 -148.079466,60.073251 -148.025597,60.279029 -148.241664,60.937738 -147.554439,61.091719 -146.65343,61.047752 -146.517848,60.688102 -145.901279,60.715373 -146.655894,60.340462 -145.957404,60.461101 -144.358774,60.188132 -140.256351,59.703052 -139.67631,59.611249 -137.568216,58.587989 -136.265906,58.314499 -135.727989,58.397088 -135.322604,59.007812 -133.251126,57.649966 -133.517197,57.177776 -132.313799,56.676601 -132.708697,56.112124 -132.266551,55.740371 -131.706744,55.706435 -131.197489,55.391051 -130.881297,55.495582 -130.62807,54.739341 -130.12372,55.80704 -132.559178,57.503927 -135.945905,59.663802 -141,60.316 -141.002672,69.645609</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-166.053153,66.264944 -166.066097,66.263721 -166.101781,66.258743 -166.129652,66.252813 -166.152374,66.246373 -166.165412,66.239084 -166.177606,66.234732 -166.178474,66.228016 -166.172071,66.219909 -166.170909,66.218437 -166.153012,66.212289 -166.13839,66.210089 -166.121659,66.214773 -166.096969,66.237833 -166.066397,66.246531 -166.019921,66.252754 -166.031342,66.264631 -166.03187,66.264639</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-168.954515,65.757144 -168.951388,65.749319 -168.94076,65.742714 -168.93122,65.73894 -168.903439,65.738454 -168.898754,65.739709 -168.893219,65.744705 -168.902235,65.769665 -168.915518,65.770484 -168.93724,65.767116 -168.947278,65.763817 -168.952766,65.758911</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-168.213963,64.984318 -168.213962,64.967845 -168.210114,64.951372 -168.187035,64.934902 -168.137033,64.918432 -168.090879,64.911113 -168.037032,64.909284 -167.976149,64.922872 -167.953094,64.932994 -167.91906,64.960813 -167.913829,64.969943 -167.916447,64.988618 -167.924296,65.002728 -167.953076,65.023479 -167.972262,65.030534 -168.004872,65.038897 -168.076108,65.043289 -168.129109,65.034565 -168.156162,65.029174 -168.16909,65.024067 -168.207906,65.003291 -168.21012,64.99896</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-171.754336,63.71896 -171.755552,63.701173 -171.742338,63.665494 -171.743979,63.654905 -171.757081,63.640252 -171.791881,63.620625 -171.833681,63.580074 -171.840382,63.547724 -171.849984,63.485039 -171.824872,63.437141 -171.818259,63.429452 -171.795297,63.407853 -171.739321,63.366114 -171.667115,63.356166 -171.562263,63.334591 -171.464455,63.306915 -171.433319,63.307578 -171.333089,63.335393 -171.285411,63.366464 -171.287157,63.376642 -171.269249,63.385386 -171.067663,63.424579 -170.92345,63.420859 -170.712572,63.385975 -170.512102,63.341881 -170.364806,63.285596 -170.30363,63.238692 -170.277915,63.200239 -170.285648,63.19457 -170.263032,63.179147 -170.181985,63.178804 -170.174421,63.185464 -170.124354,63.183665 -170.053402,63.168858 -170.049622,63.163377 -170.006196,63.14454 -169.944056,63.13236 -169.838511,63.084339 -169.788466,63.043015 -169.734938,62.974468 -169.757249,62.960087 -169.638309,62.937527 -169.572777,63.022118 -169.575873,63.03645 -169.534984,63.074355 -169.471949,63.098565 -169.396308,63.136617 -169.303477,63.164439 -169.198398,63.176011 -169.042674,63.176511 -168.963577,63.167104 -168.889683,63.147708 -168.85875,63.146958 -168.789266,63.179646 -168.751537,63.217962 -168.686675,63.293022 -168.692939,63.302282 -168.932623,63.32914 -168.937385,63.333789 -169.05195,63.343127 -169.101961,63.338022 -169.281422,63.348381 -169.38408,63.356733 -169.520524,63.365941 -169.554375,63.377158 -169.566562,63.388725 -169.643167,63.427802 -169.747634,63.432756 -169.906304,63.457519 -170.007943,63.475428 -170.047114,63.490135 -170.076689,63.587988 -170.113066,63.616245 -170.154754,63.619072 -170.257808,63.666611 -170.281988,63.68502 -170.344855,63.694225 -170.359363,63.687321 -170.400734,63.689185 -170.462947,63.698022 -170.488192,63.696723 -170.698156,63.646778 -170.859032,63.587503 -170.907197,63.572107 -171.044486,63.580431 -171.202557,63.606897 -171.521859,63.658797 -171.632194,63.688601 -171.649923,63.70254 -171.646692,63.729425 -171.652664,63.73661 -171.641477,63.745559 -171.638992,63.759231 -171.659873,63.775762 -171.673296,63.788067 -171.692686,63.782598 -171.738178,63.784711 -171.737432,63.76035 -171.725748,63.734745 -171.733206,63.720327 -171.750944,63.718522</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-162.644513,63.602599 -162.682629,63.584066 -162.707559,63.577607 -162.680973,63.556859 -162.676581,63.555648 -162.614949,63.540601 -162.562007,63.537105 -162.552701,63.540951 -162.470029,63.5475 -162.416802,63.547389 -162.377988,63.543813 -162.345179,63.551785 -162.341892,63.594062 -162.374243,63.626425 -162.401203,63.634367 -162.424205,63.636215 -162.427696,63.633134 -162.425265,63.631654 -162.425419,63.62995 -162.430304,63.625745 -162.440229,63.622491 -162.451929,63.62127 -162.498175,63.622069 -162.512298,63.629784 -162.541389,63.635727 -162.558234,63.634308 -162.587527,63.625115 -162.614621,63.621832</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.178969,60.903704 -147.193399,60.902949 -147.210324,60.908776 -147.226303,60.910421 -147.321084,60.880198 -147.32564,60.877153 -147.309086,60.873924 -147.253128,60.872969 -147.217749,60.869741 -147.192354,60.861635 -147.141802,60.853991 -147.126799,60.858011 -147.089645,60.874693 -147.071788,60.893833 -147.077772,60.899503 -147.115336,60.911938 -147.131319,60.912932</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.957239,60.747706 -147.965419,60.751996 -148.020259,60.72495 -147.970684,60.673799 -147.932931,60.655714 -147.868067,60.670825 -147.860057,60.677233 -147.846103,60.694509 -147.848176,60.698116 -147.906021,60.735515 -147.952039,60.741879</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-147.449559,60.700046 -147.479814,60.693593 -147.486484,60.686582 -147.501603,60.654772 -147.486045,60.619348 -147.457407,60.61909 -147.344494,60.628544 -147.337429,60.632685 -147.302915,60.660673 -147.308537,60.666793 -147.384779,60.710017 -147.444468,60.699654</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AK-00,AK-AL,AK-1,Alaska At Large,AK,00,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-173.120769,60.51301 -173.119005,60.500067 -172.990296,60.478702 -172.966515,60.478167 -172.959056,60.479695 -172.951477,60.478649 -172.811529,60.406621 -172.757794,60.374881 -172.622325,60.330424 -172.612982,60.319309 -172.589625,60.314863 -172.547585,60.317088 -172.519558,60.323758 -172.505544,60.330428 -172.491531,60.334874 -172.435476,60.332653 -172.291289,60.321193 -172.254821,60.326466 -172.254821,60.334082 -172.269754,60.333887 -172.333051,60.364359 -172.341399,60.373145 -172.352622,60.381435 -172.480536,60.400184 -172.706472,60.425179 -172.715261,60.429864 -172.895349,60.49975 -172.915273,60.514621 -172.915274,60.527122 -172.97153,60.605249 -172.999659,60.611498 -173.041847,60.611497 -173.098094,60.573993 -173.098092,60.533367 -173.116905,60.516005</coordinates></LinearRing></outerBoundaryIs></Polygon>"
